All Temperatures (Celsius) Between 3.0 and 4.0 in the World
Temperature, Year, Month_Avg, Country, Country_Code
3.95(C) 39.12(F), 2009, Feb, Italy, ITA
3.96(C) 39.12(F), 2012, Nov, Belarus, BLR
3.96(C) 39.13(F), 2011, Nov, Latvia, LVA
3.96(C) 39.13(F), 2006, Mar, United Kingdom, GBR
3.96(C) 39.13(F), 2010, Dec, Italy, ITA
3.96(C) 39.14(F), 2005, Mar, Germany, DEU
3.97(C) 39.14(F), 2003, Jul, New Zealand, NZL
3.97(C) 39.15(F), 2004, Jul, New Zealand, NZL
3.97(C) 39.15(F), 2001, Feb, Monaco, MCO
3.98(C) 39.16(F), 2005, Nov, Moldova, MDA
3.98(C) 39.17(F), 2006, Dec, Croatia, HRV
3.98(C) 39.17(F), 2005, Dec, Netherlands, NLD
3.99(C) 39.18(F), 2009, Mar, Romania, ROU
3.99(C) 39.18(F), 2015, Dec, Japan, JPN
3.99(C) 39.18(F), 2000, Feb, Nepal, NPL
3.99(C) 39.18(F), 2002, Jan, Bhutan, BTN
3.99(C) 39.19(F), 2007, Mar, Japan, JPN
4.0(C) 39.19(F), 2006, Jan, Iran, IRN
4.0(C) 39.2(F), 2008, Feb, Germany, DEU
4.0(C) 39.2(F), 2010, Aug, Chile, CHL
4.0(C) 39.2(F), 2014, Oct, Sweden, SWE
